,通知人,标题,日期,详细链接,附件
184,计划科,关于印发《福州大学本科生课程替代与学分认定管理实施办法》的通知,2025-01-10,https://jwch.fzu.edu.cn//info/1038/13857.htm,[]
185,综合科,教务处关于2025年寒假用印安排的通知,2025-01-18,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13871,[]
186,教学运行,关于2025届预计毕业生校对电子注册学历照片的通知,2025-01-07,https://jwch.fzu.edu.cn//info/1036/13851.htm,[]
187,教学运行,关于2024-2025学年第二学期辅修专业选课的通知,2025-01-07,https://jwch.fzu.edu.cn//info/1036/13852.htm,[]
188,教学通知,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,2025-01-04,https://jwch.fzu.edu.cn//info/1012/13848.htm,[]
189,实践科,关于举办福州大学第五届先进成图技术与产品信息建模创新大赛的通知,2025-03-06,https://jwch.fzu.edu.cn//info/1039/13900.htm,"[{'附件名': '【附件2：第五届福州大学先进成图技术与产品信息建模创新大赛报名表.xls】', '下载次数': 557, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15763874'}]"
190,综合科,关于召开2024-2025学年秋季学期期末本科教育教学工作会议的通知,2025-01-04,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13847,[]
191,计划科,关于核对2024-2025学年第二学期通识教育选修课开课信息的有关通知,2025-01-02,https://jwch.fzu.edu.cn//info/1038/13841.htm,[]
192,实践科,关于开展大学生校外实践教学基地检查评估工作的通知,2025-04-02,https://jwch.fzu.edu.cn//info/1039/13977.htm,"[{'附件名': '【附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx】', '下载次数': 440, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770743'}, {'附件名': '【附件2：福州大学大学生校外实践教学基地检查评估表.xlsx】', '下载次数': 473, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770744'}]"
193,教学运行,关于2025届预计毕业生补拍电子注册学历照片的通知,2025-04-10,https://jwch.fzu.edu.cn//info/1036/13988.htm,"[{'附件名': '【附件3：获得图像采集码途径.pdf】', '下载次数': 624, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774886'}, {'附件名': '【附件1：行政北楼平面图.pdf】', '下载次数': 555, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774887'}, {'附件名': '【附件2：证件照拍摄要求.pdf】', '下载次数': 2292, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774888'}]"
194,质量办,关于推荐遴选校级本科教学督导员的通知,2025-02-24,https://jwch.fzu.edu.cn//info/1040/13883.htm,"[{'附件名': '【附件：福州大学本科教学督导员推荐表.docx】', '下载次数': 410, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761796'}]"
195,计划科,关于2024-2025学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2025-02-22,https://jwch.fzu.edu.cn//info/1038/13880.htm,"[{'附件名': '【2024-2025学年第二学期国情课列表.docx】', '下载次数': 918, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15761212'}]"
196,教学运行,福州大学关于印发授予普通全日制学生学士学位工作细则的通知,2024-12-31,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=13842,[]
